wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4876912461086987,中国妇女报,2606218210,f,2023-03-08 07:00:02,【#三八妇女节不是什么女神节#】3月8日，不是什么女神节，也不叫什么女王节，最美好的名字是“三八”国际妇女节。这个节日得来不易，请勿娱乐，也勿消费！让妇女节保持初心，是对妇女最好的问候与致敬。转发呼吁#为她改变#共同关注女性成长，见证女性力量。#漫说妇联那些事儿#,60771,4603,8480,北京,中国,北京
4876937786821600,根正苗红的贫农,5449687795,m,2023-03-08 08:40:40,#妇女能顶半边天# 妇女节就是妇女节，“妇女”不是贬义词，把妇女节异化成女神节女王节，本质上是对妇女这个词的理解有偏差甚至歧视。#女性可以成为任何她想成为的样子#,891887,34150,32122,成都,中国,四川
4876991414927915,中国新闻周刊,1642512402,m,2023-03-08 12:13:46,【庹庆明代表：#建议免费为适龄女性接种HPV疫苗#】全国人大代表庹庆明接受@中国新闻周刊 采访时表示，宫颈癌发病率居妇科恶性肿瘤发病率第二位，疫苗接种是预防HPV感染的有效方法。今年以来，全国多地逐步推进适龄女性HPV疫苗普遍接种策略，建议为全国适龄女性免费接种HPV疫苗。#今天妇女节##妇女节 不是女生节不是女神节# 中国新闻周刊的微博视频,918,116,75,北京,中国,北京
4876996238383422,理记,1907166177,m,2023-03-08 12:32:56,#妇女节 不是女生节不是女神节# 好好的妇女节非要说女生节女神节，这本身就是对女性的歧视。本来就是商家或者是大家开心随便叫女生节女神节，又不耽误啥，非要一本正经的较真，自己是把枪瞅谁都像靶子，这是对女性更大的歧视。,717,81,10,沈阳,中国,辽宁
4876997701929440,这不河理吧,6052736065,m,2023-03-08 12:38:45,#妇女节 不是女生节不是女神节#每年都在科普，现在通过饭圈吵架的方式科普，效果更好了,4871,170,125,宁波,中国,浙江
4876991485970415,墨姒妃,1887441950,f,2023-03-08 12:14:03,"祝大家三八国际妇女节快乐。

不必被流言蜚语捆绑，不会被陈规陋习束缚，不困于谣言沉于自证，不束于枷锁贴上标签。

可以不婚不育做最喜欢的自己，也可以生儿育女做想做的母亲。可以雷厉风行，也可以温柔可亲。可以长发飘飘，也可以短发利落。可以甜美长裙，也可以衬衫西裤。

所有选择权决定权，希望只在你。
不被舆论裹挟，不被他人定义。

只做你自己，勇敢的、坚定的、自由的。
一切是因“我想我愿意”，而不是“别人说/都这样/女人到了这个年龄就应该”。

希望我们，可以“我想我愿意”。

#妇女节 不是女生节不是女神节#",630,29,94,北京,中国,北京
4876996532766792,京东电器,6428038435,m,2023-03-08 12:34:06,"臭丫头，三八快乐❤，等我们老了还要一起玩🌹🌹🌹不联系不代表不想念💋致最挚爱的姐妹么么哒💗💗💖forever今天是三八妇女节💖💖，你们是我最疼爱的姐妹❤️想起谁❤️，发给谁❤️，别小气❤️，你是咱家姐妹🌹🌹🌹🌹🌹🌹🌹
#三八妇女节快乐# #妇女节 不是女生节不是女神节#",1474,300,47,北京,中国,北京
4876993202490869,宝藏文案bot,7299576370,f,2023-03-08 12:20:52,#妇女节 不是女生节不是女神节# 今天突然看到一个这样的词条#公司给员工放妇女节假还发防晒包#为什么有的公司可以心安理得不给女员工放假？又为什么有的公司可以做到如此大度！,341,242,243,天津,中国,天津
4876999594611334,塔罗师夏末一,1939420747,f,2023-03-08 12:46:16,兜爸转钱给我，我转给两个妈妈，两个妈妈存着以后发红包给兜兜，所以家庭里只要男人的钱给到位了，所有女人都会很开心 #今天妇女节# #妇女节 不是女生节不是女神节#,141,10,1,杭州,中国,浙江
4876996011622775,澎湃新闻,5044281310,m,2023-03-08 12:32:02,【OpenAI的首席技术官米拉·穆拉蒂，可能是#人工智能界最有趣的女性#】米拉·穆拉蒂年仅35岁，是主导ChatGPT和Dall-E项目的技术负责人，这两个项目的名字都“如雷贯耳”。在她的推动下，ChatGPT离开了实验室，向公众开放。同时，她也是坚定不移支持对AI进行监管的业内人士之一。年纪轻轻就当上首席技术官，作为一位女性，穆拉蒂引来许多网友的质疑，但事实上她的经历十分“硬核”。早在进入OpenAI之前，她在特斯拉就领导了Model X的开发，2018年进入OpenAI后，在生成式人工智能开放中扮演了重要角色，《时代》杂志称她为“ChatGPT的创造者”。#妇女节 不是女生节不是女神节##妇女节#OpenAl的首席技术官米拉·穆拉蒂，可能是人工智能界最有趣的女性,43,6,11,上海,中国,上海
4876995509356637,Vista看天下,1323527941,m,2023-03-08 12:30:02,"【#西班牙女子离婚获150万家务劳动赔偿#】3月7日，西班牙一家法院做出裁决，要求离婚的男子向前妻支付204000欧元（约合人民币150万元），作为后者25年来无偿家务劳动的赔偿。此外，男子还须向前妻每月支付养老金500欧元（约合人民币3637元）。报道称，这是一项“创纪录的离婚协议”。#妇女节 不是女生节不是女神节#

这对夫妇于1995年结婚，伊万娜·莫拉尔（Ivana Moral）女士在2020年提出离婚。两人共育有两个女儿，这25年来伊万娜几乎把所有时间都花在照顾家人和做家务方面。与此同时，男子则在这段期间建立起成功的企业，并购置名车，总价值约400万欧元（约合人民币2939万元），这些资产均在其名下。早在两人结婚时，丈夫就要求伊万娜签署财产分割协议，这意味着离婚时伊万娜仅能得到一半房产。

赔偿方案是基于他们婚姻期间年度最低收入计算的。此外，男子还要向两个女儿（20岁和14岁）每月支付400 欧元和 600 欧元。此前他不肯出钱供大女儿读书，后者只好自己打工挣钱。法院没有公布男子的姓名，伊万娜表示希望她的案件可以激励到其他女性。报道称，男子没有支付家务劳动赔偿的打算，只想平分家庭共有财产，预计他将上诉。（i news）",184,20,19,北京,中国,北京
4877006393575351,就叫我墨芯吧,7576654827,f,2023-03-08 13:13:17,#妇女节 不是女生节不是女神节#自己说什么都可以，自己想什么也都可以。但是对于“女神比妇女更好”，我反对。,0,0,0,聊城,中国,山东
4877006380467054,Magick葡萄味小祺,7742610133,f,2023-03-08 13:13:14,"#妇女节 不是女生节不是女神节#
这有什么好讨的 女性朋友爱怎么叫就怎么叫 某些人能不能别多事",1,0,0,临夏,中国,甘肃
4877006377060479,我是洋芋咧,5092731708,f,2023-03-08 13:13:13,"#妇女节 不是女生节不是女神节#
妇女不是污名词汇。祝大家妇女节快乐！",0,0,0,南通,中国,江苏
4877006363694921,hfffffff__,6098981177,f,2023-03-08 13:13:10,"#妇女节 不是女生节不是女神节#
妇女节快乐呀
要勇敢 自信 快乐",0,0,0,兰州,中国,甘肃
4877006351897401,爱罗先嗑,7464786929,f,2023-03-08 13:13:07,#妇女节 不是女生节不是女神节#有些人过于偏激了吧，喜欢叫女神节只是因为这样更好听，别扣个歧视妇女的帽子,0,0,0,镇江,中国,江苏
4877006342724289,江苏灌云第一深情,7487640092,f,2023-03-08 13:13:05,#妇女节 不是女生节不是女神节#资本家商家说是女神节就是女神节，就是要消费要买单,0,0,0,镇江,中国,江苏
4877006339051440,左手抱月右手揽日,2114107532,f,2023-03-08 13:13:04,"#妇女节 不是女生节不是女神节#
为什么要纠结于此呢？
不是说好不被定义吗？",0,0,0,广州,中国,广东
4877006326205134,哎哟喂呀-暖日,1065581144,f,2023-03-08 13:13:01,#妇女节 不是女生节不是女神节#我觉得，广大女性同胞的节日，愿意叫什么叫什么吧，别又一窝蜂的批判这个批判那个的，早干嘛去了,0,0,0,北京,中国,北京
4877006325681057,阿庄的相机,6476283085,f,2023-03-08 13:13:01,#妇女节 不是女生节不是女神节#快跑，跑出去，去远方，去看另一番世界 阿庄的相机的微博视频,0,0,0,大理,中国,云南
4876912461086987,中国妇女报,2606218210,f,2023-03-08 07:00:02,【#三八妇女节不是什么女神节#】3月8日，不是什么女神节，也不叫什么女王节，最美好的名字是“三八”国际妇女节。这个节日得来不易，请勿娱乐，也勿消费！让妇女节保持初心，是对妇女最好的问候与致敬。转发呼吁#为她改变#共同关注女性成长，见证女性力量。#漫说妇联那些事儿#,61499,4651,8536,北京,中国,北京
4876937786821600,根正苗红的贫农,5449687795,m,2023-03-08 08:40:40,#妇女能顶半边天# 妇女节就是妇女节，“妇女”不是贬义词，把妇女节异化成女神节女王节，本质上是对妇女这个词的理解有偏差甚至歧视。#女性可以成为任何她想成为的样子#,896159,34274,32251,成都,中国,四川
4876997701929440,这不河理吧,6052736065,m,2023-03-08 12:38:45,#妇女节 不是女生节不是女神节#每年都在科普，现在通过饭圈吵架的方式科普，效果更好了,4931,173,127,宁波,中国,浙江
4876999594611334,塔罗师夏末一,1939420747,f,2023-03-08 12:46:16,兜爸转钱给我，我转给两个妈妈，两个妈妈存着以后发红包给兜兜，所以家庭里只要男人的钱给到位了，所有女人都会很开心 #今天妇女节# #妇女节 不是女生节不是女神节#,152,10,1,杭州,中国,浙江
4876996238383422,理记,1907166177,m,2023-03-08 12:32:56,#妇女节 不是女生节不是女神节# 好好的妇女节非要说女生节女神节，这本身就是对女性的歧视。本来就是商家或者是大家开心随便叫女生节女神节，又不耽误啥，非要一本正经的较真，自己是把枪瞅谁都像靶子，这是对女性更大的歧视。,768,84,12,沈阳,中国,辽宁
4876993202490869,宝藏文案bot,7299576370,f,2023-03-08 12:20:52,#妇女节 不是女生节不是女神节# 今天突然看到一个这样的词条#公司给员工放妇女节假还发防晒包#为什么有的公司可以心安理得不给女员工放假？又为什么有的公司可以做到如此大度！,343,242,244,天津,中国,天津
4876996011622775,澎湃新闻,5044281310,m,2023-03-08 12:32:02,【OpenAI的首席技术官米拉·穆拉蒂，可能是#人工智能界最有趣的女性#】米拉·穆拉蒂年仅35岁，是主导ChatGPT和Dall-E项目的技术负责人，这两个项目的名字都“如雷贯耳”。在她的推动下，ChatGPT离开了实验室，向公众开放。同时，她也是坚定不移支持对AI进行监管的业内人士之一。年纪轻轻就当上首席技术官，作为一位女性，穆拉蒂引来许多网友的质疑，但事实上她的经历十分“硬核”。早在进入OpenAI之前，她在特斯拉就领导了Model X的开发，2018年进入OpenAI后，在生成式人工智能开放中扮演了重要角色，《时代》杂志称她为“ChatGPT的创造者”。#妇女节 不是女生节不是女神节##妇女节#OpenAl的首席技术官米拉·穆拉蒂，可能是人工智能界最有趣的女性,44,6,11,上海,中国,上海
