wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4876911501118051,人民日报,2803301701,m,2023-03-08 06:56:13,【姐妹，祝好】今天，我想这样亲切地称呼你。不必做“乘风破浪的姐姐” ，和年龄一较高下；也不必当“超级妈妈”“职场女王”，努力兼顾所有…舒展自信、勇敢坦荡，#不必努力完美无缺你本来就很好#。好好吃饭，好好睡觉，好好生活，#愿今天也是女性普通又快乐的每天#。#妇女节# 人民日报的微博视频,60481,6597,11191,北京,中国,北京
4877100195251970,中国警方在线,2328516855,m,2023-03-08 19:26:00,【#张桂梅的芳华故事#】张桂梅一手创办华坪女子高中，帮助2000多名贫困山区女孩圆了大学梦，自己却因常年操劳透支了身体，每天靠吃止疼药坚持工作。她以弱小的身躯，燃烧自己，点亮了大山女孩们的人生梦想。“三八”国际劳动妇女节来临之际，让我们翻开#张桂梅的时光相册#，一睹她美丽的青春年华。#妇女节#新华网的微博视频,62,5,4,台州,中国,浙江
4877108251462259,钱江晚报,1700720163,m,2023-03-08 19:58:02,【#杭州特警女枪王太飒了#】日前，杭州市公安机关第四届“枪王争霸赛”共评选出了一男一女两位“枪王”。其中，“女枪王”周丹萍也在今天的训练现场。她是杭州市目前唯一一个参加市局特警系统攻坚组比武的女队员。今天，我们就跟随镜头，来超近距离观看“女枪王”的射击训练吧↓#妇女节 不是女生节不是女神节# （潮新闻 记者 孙金满） 钱江晚报的微博视频,43,11,26,杭州,中国,浙江
4877104208414570,凤凰周刊,1267454277,m,2023-03-08 19:41:58,【#建议将婚丧嫁娶情况纳入干部考核#】全国政协委员、全国妇联副主席、书记处书记吴海鹰建议，相关部门将婚丧嫁娶情况纳入党员干部考核述评、晋级晋职、监督管理中，落实有关承诺、报备制度。通过制定“媒婆公约”等，杜绝高额回扣。完善婚嫁新风礼遇激励机制，汇聚各方资源为“零彩礼”“低彩礼”者提供集体婚礼、免费体检、创业担保贷款等暖心支持服务。（来源：全国妇联女性之声）#妇女节 不是女生节不是女神节##妇女节# 网页链接,608,14,2,上海,中国,上海
4877106234525785,包容万物恒河水,1671109627,f,2023-03-08 19:50:01,🔺在 3 月 8 日之际，普京为俄罗斯杰出女性颁奖。 #妇女节 不是女生节不是女神节# 包容万物恒河水的微博视频,109,23,8,眉山,中国,四川
4877099900344575,凤凰网,2615417307,m,2023-03-08 19:24:51,"【风声丨为什么三八节喊“女神”，反而成了一种冒犯？】#为什么妇女节喊女神是种冒犯# #妇女节 不是女生节不是女神节# 三八国际劳动妇女节关注的，不是让女人怎么美丽，而是女性从出生开始的生存权、教育权、工作权、自由选择权、身体支配权、生育权等一系列问题。女人可以不是别人的女友、儿媳、老婆，也不需要是什么让人神魂颠倒的美女。
有时想想，“妇女节”全名的变化，很有意味。“国际劳动妇女节”，是希望更多的女性奋斗、不屈服，不滑落于舒适当中；而“联合国妇女权益与国际和平日”是为了保护更多的普通的、并没有太大野心的、老弱病残的女性，获得更多的权力和权利；最终让所有女性，都可以按自己的生活方式来生活。
每个普通妇女，都应该得到尊重。
为什么我们会在意名称的变化呢？因为，这些语义的变化显示出女性们对社会问题和女性权利问题理解越来越深刻了。正是这种意识，成为推动性别平等的一种动力，也推动了社会的进步。 风声｜为什么三八节喊“女神”，反而成了一种冒犯？",76,14,12,北京,中国,北京
4877104640431623,歌木木朵,3936539605,f,2023-03-08 19:43:41,"《三分钟沉浸式体验卖卵流程（千万不要！）》❌

我觉得今天妇女节这个日子很适合让更多女性了解【卖卵】。或许之前你只是听说过，但因为惧怕一些图片视频而不敢点开，也没有再去详细了解，那么这个动画视频就非常适合向所有人科普【卖卵】究竟有多大的危害❗️希望所有女性都能保护好自己#妇女节 不是女生节不是女神节#

来源b站up：让我悄悄告诉你
bv号：BV1oM411v7u6

. 歌木木朵的微博视频",56,10,29,成都,中国,四川
4877102291881440,曼联足球俱乐部,3204839810,m,2023-03-08 19:34:21,👊我们始终坚信，这项运动的美丽，是来自所有人，属于所有人。 🙌代代相传！ 曼联#妇女节##曼联足球俱乐部# ❤️🤍🖤,80,3,2,上海,中国,上海
4877100077811030,i奚望,2121746677,f,2023-03-08 19:25:33,希望大家妇女节快乐，做自己真正想做的人，无论什么身份，什么选择，遵从自己的内心更重要。拥抱优秀的，脆弱的，努力的，胆小的，优雅的，放肆的，坚定的，纠结的自己。更多的阅读和思考吧，关注自己。ps：第一次喝橙酒，对这个颜色和香气都好未知，带着踩雷的心喝下一口，才发现原来我早就在河北葡萄园的农家里，喝过伯伯们自己酿的自然酒，只是它没有被命名，没有被推广，我也不了解。其实很多事我们都在经历，经受，经过。奚望#妇女节#,38,15,1,杭州,中国,浙江
4877112017685057,木木子-520,5999050327,f,2023-03-08 20:13:00,是妇女节，不是女神节也不是女生节#妇女节#,0,1,0,晋中,中国,山西
